+-----+-----------------------------------------------------------------------------------------------------------------------------+
|Brand|objs                                                                                                                         |
|10676|[{W Hill RSV Cab Svgn, 750mL}, {William Hill Est Cab Svgn RV, 750mL}]                                                        |
|10724|[{Canyon Rd Wh Znfdl, 750mL}, {Canyon Road Wh Znfdl, 750mL}]                                                                 |
|10869|[{Bouza TempranilloTannat, 750mL}, {Bouza Tempranillo/Tannat, 750mL}]                                                        |
|11089|[{Jaboulet Cts Rhone Parl Rose, 750mL}, {Jaboulet CdR Parl 45 Rose, 750mL}]                                                  |
|11152|[{Stemmari Pt Nr, 750mL}, {Stemmari Pnt Noir, 750mL}]                                                                        |
|11153|[{Canyon Rd Chard, 1.5L}, {Canyon Road Chard, 1.5L}]                                                                         |
|11154|[{Canyon Rd Cab Svgn, 1.5L}, {Canyon Road Cab Svgn, 1.5L}]                                                                   |
|11156|[{Canyon Road Wh Znfdl, 1.5L}, {Canyon Rd Wh Znfdl, 1.5L}]                                                                   |
|11219|[{Josh Cellars Cab Svgn, 750mL}, {Josh Cellars Cab Svgn Sonoma, 750mL}]                                                      |
|11310|[{Beaulieu Tapestry 11 Rsv, 750mL}, {Beaulieu Tapestry Rsv Napa, 750mL}, {Beaulieu Tapestry 05 Rsv, 750mL}]                  |
|12165|[{Clayhouse Petite Sirah, 750mL}, {Clayhouse Est OV P Sirah Pso, 750mL}]                                                     |
|12394|[{Argiolas SerraLori Rose 14, 750mL}, {Argiolas SerraLori Rose 13, 750mL}]                                                   |
|12511|[{Angelini Sangiovese Pesaresi, 750mL}, {Angelini Estate Sangiovese, 750mL}]                                                 |
|12585|[{F Coppola Sofia Rsl, 750mL}, {F Coppola Sophia Rsl, 750mL}]                                                                |
|12589|[{Canyon Road Pnt Grigio, 750mL}, {Canyon Rd Pnt Grigio, 750mL}]                                                             |
|12910|[{Drouhin Gevrey-Chambertin 13, 750mL}, {Drouhin Gevrey-Chambertin, 750mL}]                                                  |
|12913|[{J Drouhin Vosne Romanee 13, 750mL}, {J Drouhin Vosne Romanee, 750mL}]                                                      |
|13097|[{Menage a Trois Chard, 750mL}, {Menage a Trois Gold Chard, 750mL}]                                                          |
|13636|[{Ch Smith Cabernet Sauvignon, 750mL}, {Charles Smith C Smith Cab Sv, 750mL}]                                                |
|13637|[{Eve Chardonnay, 750mL}, {Charles Smith Eve WA Chard, 750mL}]                                                               |
|13638|[{Charles Smith Velvet Dev Mer, 750mL}, {The Velvet Devil Merlot, 750mL}]                                                    |
|13661|[{Duckhorn Decoy Pnt Nr, 750mL}, {Duckhorn Decoy Pnt Nr Sonoma, 750mL}]                                                      |
|13663|[{Duckhorn Decoy Znfdl Sonoma, 750mL}, {Duckhorn Decoy Znfdl Napa Vl, 750mL}]                                                |
|13723|[{Big House Red, 3L}, {Big House Prohibition Red, 3L}]                                                                       |
|13744|[{W Hill Est Chard Cntrl Cst, 750mL}, {William Hill Est Chard CC, 750mL}]                                                    |
|13932|[{Canyon Rd Pnt Nr, 750mL}, {Canyon Road Pnt Nr, 750mL}]                                                                     |
|13933|[{Canyon Rd Pnt Grigio, 1.5L}, {Canyon Road Pnt Grigio, 1.5L}]                                                               |
|14004|[{Layer Cake Virgin Chard, 750mL}, {Layer Cake Chard, 750mL}]                                                                |
|14096|[{Citation Chard, 750mL}, {Firesteed Citation Chard, 750mL}]                                                                 |
|14436|[{Nielson by Byron Chard SBC, 750mL}, {Byron Santa Barbara Chard, 750mL}]                                                    |
